foundation_names,rating,verified_purchase,time_ago,shade,shade_depth,undertone,skin_type,skin_tone,eye_color,review_body,days_ago,clean_review_body
Estee Lauder Double Wear,,No,,,,,,,,"deepest with rich neutral undertones This foundation worked as expected, but maybe not the best formula for me. The color blended well and matched my skin tone, but I prefer a more dewy/natural finish. It was certainly long-lasting! This product was sent to me for free in exchange for reviews. Read more",,deepest with rich neutral undertones this foundation worked as expected but maybe not the best formula for me the color blended well and matched my skin tone but i prefer a more dewy natural finish it was certainly long lasting this product was sent to me for free in exchange for reviews read more
Estee Lauder Double Wear,1.0,No,2 h ago,,,,Combination,Fair,Green,light-medium with warm peach undertones Absolutely gutted. Been a loyal fan for years and the new version is completely the wrong color - so much yellow in it! I have now tried 6 different shades to find a match. Needs setting powder now which it never did before. the finish Read more,0.08333333333333333,light medium with warm peach undertones absolutely gutted been a loyal fan for years and the new version is completely the wrong color so much yellow in it i have now tried different shades to find a match needs setting powder now which it never did before the finish read more
Estee Lauder Double Wear,1.0,No,3 h ago,,,,Dry,Tan,Brown,"medium tan with warm red undertones I’ve been using this foundation for almost 30 years. It WAS absolute perfection. Even though it ended up being about $80 after taxes, it was worth this splurge. The new formula, however, does not even touch what the old product was. I got a sample of the new formula to try, and I have so many complaints. Firstly, it is shiny and doesn’t cover my imperfections even after I layer them up. secondly, the color is completely wrong. It oxidizes and turns of weird ashy grey color. I tried out some other shades to see if I could get a better match, but they were even worse. no way am I spending that amount of money on a really bad product. it’s a shame and I’m so mad that I have to go on a hunt to find my perfect foundation after thinking that I had finally found my match. Read more",0.125,medium tan with warm red undertones i ve been using this foundation for almost years it was absolute perfection even though it ended up being about after taxes it was worth this splurge the new formula however does not even touch what the old product was i got a sample of the new formula to try and i have so many complaints firstly it is shiny and doesn t cover my imperfections even after i layer them up secondly the color is completely wrong it oxidizes and turns of weird ashy grey color i tried out some other shades to see if i could get a better match but they were even worse no way am i spending that amount of money on a really bad product it s a shame and i m so mad that i have to go on a hunt to find my perfect foundation after thinking that i had finally found my match read more
Estee Lauder Double Wear,4.0,No,3 h ago,,,,Combination,Light,Blue,"light-medium with cool rosy beige undertones I was excited to try this product, but I found that it seemed to sit on my skin a little more than I expected when first applied. I did not feel heavy on my skin though. I does have a very nice, satiny finish to it, and it definitely lasts longer than most products I've used before. Oddly, it seemed to show drier spots at first, but then after time stayed hydrated and didn't seem to dry out my face. I received this product for free from Estee Lauder for testing and review purposes. Read more",0.125,light medium with cool rosy beige undertones i was excited to try this product but i found that it seemed to sit on my skin a little more than i expected when first applied i did not feel heavy on my skin though i does have a very nice satiny finish to it and it definitely lasts longer than most products i ve used before oddly it seemed to show drier spots at first but then after time stayed hydrated and didn t seem to dry out my face i received this product for free from estee lauder for testing and review purposes read more
Estee Lauder Double Wear,2.0,Yes,8 h ago,,,,Oily,Light Medium,Blue,"light-medium with neutral undertones I have oily combo skin and I love the og double wear, but this is trash … it doesn’t blend in good, I put other makeup on and it takes the foundation off and leaves marks from concealer and stuff, it’s just awful …",0.3333333333333333,light medium with neutral undertones i have oily combo skin and i love the og double wear but this is trash it doesn t blend in good i put other makeup on and it takes the foundation off and leaves marks from concealer and stuff it s just awful
Estee Lauder Double Wear,3.0,Yes,8 h ago,,,,,,,medium with cool rosy undertones Not a fan of the reformation. Dried down too fast. Made it difficult to use concealer. This is the forth foundation that I have lived in the past and they have changed it. and Lancôme Brown Read more,0.3333333333333333,medium with cool rosy undertones not a fan of the reformation dried down too fast made it difficult to use concealer this is the forth foundation that i have lived in the past and they have changed it and lanc me brown read more
Estee Lauder Double Wear,1.0,No,9 h ago,,,,Dry,Fair,Blue,deepest with rich neutral undertones NEW foundation but you keep all the glowing reviews of the OLD formula so shady. bring back the old formula !!!!!,0.375,deepest with rich neutral undertones new foundation but you keep all the glowing reviews of the old formula so shady bring back the old formula
Hourglass Veil Hydrating Skin Tint,,No,,,,,,,,"Medium with warm undertones Amazing, love her downnnnn. APPLY WITH BRUSH A LITTLE GOES A LONG WAY",,medium with warm undertones amazing love her downnnnn apply with brush a little goes a long way
Hourglass Veil Hydrating Skin Tint,,No,,,,,,,,Fairest with cool undertones I’m not a huge fan of hourglass due to the cost but this product is worth trying! The coverage is light (but not sheer) so it is my day to day face base. It is thicker which I love as it doesn’t run down my face or leak during travel. It is a great product!,,fairest with cool undertones i m not a huge fan of hourglass due to the cost but this product is worth trying the coverage is light but not sheer so it is my day to day face base it is thicker which i love as it doesn t run down my face or leak during travel it is a great product
Hourglass Veil Hydrating Skin Tint,5.0,No,10 d ago,,,,Combination,Fair,,Light medium with warm undertones THE BEST! Decent coverage feels nice acne safe not oily not drying. top 5 products ever ! good for medium and light coverage girls. I LOVE ITTTTT,10.0,light medium with warm undertones the best decent coverage feels nice acne safe not oily not drying top products ever good for medium and light coverage girls i love ittttt
